id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
61100,architecture,بِنْيَة,architecture,Architektur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61100,المكونات الأساسية التي يعتمد عليها نظام أو برمجية حاسوب,,False,True
61101,archival medium,وَسِيط أرْشَفَة,support d'archivage,Archivmedium,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61101,قرص أو أي حامل آخر مغناطيسي أو ضوئي يستعمل لتخزين نسخ من المعطيات لضمان سلامتها,,False,True
61102,archive,أَرْشيف,archives,Archiv,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61102,مصدر معطيات يوضع رهن إشارة العموم على الشابكة (الإنترنيت) أو خدمة على الخط. وتطلق أيضا على خاصية ملف تطبق من طرف برنامج أرشفة تُحذف بعد عملية الأرشفة ولا تظهر إلا حين إعادة استعمال الملف,,False,True
61103,archive library,مَكْتَبَةُ أرْشَفَة,bibliothèque archive,Archivbibliothek,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61103,مجموع المعطيات والمعلومات المخزنة في شكل أرشيف,,False,True
61104,archived file,مِلَفّ مُؤَرْشَف,fichier archivé,archivierte Datei,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61104,ملف يحتوي على معطيات محمية وأحيانا مكبوسة,,False,True
61105,archiving,أرْشَفَة,archivage,Archivierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61105,عملية تخزين وثيقة رقمية في ذاكرة خارجية,,False,True
61106,array,مَصْفُوفَةٌ,matrice,Array,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61106,مجموعة من العناصر من النوع نفسه في ترتيب معين يمكن التعامل معها كوحدة,,False,True
61107,arrow diagram,مُخَطَط سَهْمِيّ,graphe,Pfeildiagramm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61107,مجموعة عناصر في شكل رسوم متعارف عليها تؤكد علاقة ما,,False,True
61108,article,بنْد,article,Artikel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61108,1- عنصر أساسي لملف معطيات 2- خيار من بين خيارات,,False,True
61109,artificial,اصْطِنَاعِيّ,artificiel,künstlich,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61109,لفظ عام يطلق عادة على لغات البرمجة أو الذكاء في مقابل اللغات الطبيعية أو الذكاء البشري,,False,True
61110,artificial intelligence,ذَكَاء اصْطِنَاعِيّ,intelligence artificielle,künstliche Intelligenz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61110,ميدان المعلوميات المتطورة الذي يحاول حل بعض المشاكل على أساس محاكاة الذكاء البشري,,False,True
61111,ascending order,تَرْتِيبٌ تَصَاعُدِيّ,ordre croissant,aufsteigende Reihenfolge,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61111,ترتيب ينطلق من أول حرف إلى آخر حرف,,False,True
61113,assignment,إسْنَاد,affectation,Belegung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61113,إعطاء قيمة لمتغير، أو تخصيص جزء من مكونات الحاسوب من أجل غرض معينتَخْصِيص (المرادف العربي),,False,True
61114,asterisk,نَجْمَةٌ,astérisque,Sternchen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61114,المحرف: (*)، ويستعمل عادة للدلالة على جميع الملفات بمختلف أسمائها,,False,True
61115,asynchronous,لا مُتَزَامِن,asynchrone,asynchron,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61115,تقال عن إرسال معطيات مشفرة، من الحاسوب نحو محيطي، حيث يسبق كل محرف ببت الانطلاق ويردف ببت واحد أو اثنين عند نهاية الإرسال ( توقف). إرسال المعطيات يمكنه هكذا أن يتحقق حسب الوتيرة الخاصة للمستعمل,,False,True
61116,asynchronous communications port,بَوَّابَة اتِّصَال لا مُتَزَامِن,port de communication asynchrone,asynchroner Kommunikationsanschluss,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61116,اسم مستعمل من طرف نظام التشغيل للحاسوب ليشير إلى وجيهة تسلسلية,,False,True
61117,asynchronous transfer mode (ATM),مِنْوَالُ نَقْل لا مُتَزَامِن,mode de transfert asynchrone (mode ATM),Asynchronous Transfer Mode (ATM),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61117,معيار تنقيل المعطيات ، دائما في قيد التطور. المعطيات المنقولة تحول إلى حزم صغيرة من المعطيات وترسل مباشرة إلى المرسل إليه عن طريق المبدلات,,False,True
61118,asynchronous transmission,إِرْسَالٌ لا مُتَزَامِن,transmission asynchrone,asynchrone Übertragung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61118,تنقيل معطيات بحيث أن الإشارات بين الباث والمستقبل لا تكون متزامنة ( تحت إيقاع التردد نفسه). ولضمان تنقيل دون أغلاط، تجب إضافة بِتّ بداية وبِتّ نهاية لكل أثمون منقل,,False,True
61119,attach,إلْحَاق,attacher,anhängen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61119,عملية وصل حاسوب بآخر أو أي جهاز بآخر. وتطلق أيضا على عملية ربط وثيقة برسالة إلكترونية تُبعث معها,,False,True
61120,attached table,جَدْوَلٌ مُلْحَق,table attachée,angehängte Tabelle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61120,في قاعدة معطيات هو جدول يحتوي على معطيات تحيل على جدول آخر أو تكون مأخوذة من جدول آخر,,False,True
61121,attachment,مُلْحَق,annexe,Anhang,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61121,وثيقة تلحق مع رسالة إلكترونية ويمكن أن تكون رسالة صوتية أو رسوما أو غير ذلك,,False,True
61122,attachment protocol,بُرُوتُوكُول الإلْحَاق,protocole de connexion,Anhangprotokoll,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61122,مجموع القواعد والتقنيات التي تستعمل لربط حاسوب أو جهاز بآخر,,False,True
61123,attention message,رَسِيلَة انْتِبَاه,message attention,Aufmerksamkeitsnachricht,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61123,رسيلة تثير انتباه المستعمل إلى حدوث شي ما أو احتمال حدوثه,,False,True
61124,attribute,سِمَة,attribut,Attribut,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61124,خاصية تعطى لملف أو مجلد من طرف برنامج تطبيقي أو نظام تشغيل وتشير إلى كيفية التعامل معها. ومن بين هذه السمات: أرشفة، إخفاء، قراءة فقط.,,False,True
61125,audio,سَمْعِيّ,audio,Ton,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61125,صفة لكل ما يتعلق بالصوت المسموعصَوْتِيّ (المرادف العربي),,False,True
61126,audio card,بطَاقة صَوْتِيَّة,carte audio,Audiokarte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61126,من مكونات الحاسوب قادرة على توليد الأصوات لربطها مع مختلف الظواهر مثل التوقف أو فتح ملف وغير ذلك. كما تمكن من تنفيذ تطبيقات متعددة الوسائط,,False,True
61127,audio response,استجابة صوتية,réponse vocale,Sprachausgabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61127,عند ما يكون جواب النظام على طلب ما في شكل إشارة صوتية مسموعة,,False,True
61128,audio signal,إشَارَة صَوْتِيَّة,signal audio,Tonsignal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61128,إشارة تُسمع في مقابل المحرف والصورة,,False,True
61129,audio support,سِنَاد صَوْتِيّ,support audio,Audiounterstützung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61129,كل ما يمكن أن يسجل عليه الصوت مثل القرص المغناطيسي أو الضوئي,,False,True
61130,audit,تَدْقِيق,audit,Audit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61130,مصطلح تجاري يشير إلى مجموع عمليات المراقبة التي يمكن القيام بها في سجلات المحاسبةافْتِحَاص (المرادف العربي),,False,True
61131,authentication,تَتَبُّث,authentification,Authentifizierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61131,عملية التأكد من مصدر المعطيات وكموليتها وصلاحيتها,,False,True
61132,author language,لُغَة تَأْلِيف,langage de composition multimédia,Autorensprache,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61132,لغة تكوين الوسائط المتعددةلُغَةُ تَعْمِيم (المرادف العربي),,False,True
61133,author system,نِظَام مُؤَلِّف,système auteur,Autorensystem,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61133,نظام يستعمل لتطوير التطبيقات المتعددة الوسائط. ويتميز عموما ببنية مفتوحة يمكنها دمج مختلف المكونات الضرورية في شكل مواضيع، كما تسمح بمختلف أنواع المعالجة كمعالجة الصوت والصورة,,False,True
61134,authoring,تَأْلِيف,médiatisation,Dokumenterstellung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61134,عملية نشر وتعميم منتج ما عبر الوسائطتَعْمِيم (المرادف العربي),,False,True
61135,authorware,بَرْمَجِيَّة تَأْلِيف,logiciel auteur,Authorware,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61135,برمجية نشر إلكتروني وأداة قوية لتطوير القرص المتراص,,False,True
61136,auto-answering,جَوَاب آلِيّ,réponse automatique,automatische Beantwortung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61136,منوال تشغيل موديم يمكنه من الانطلاق آليا كلما استكشف نداء,,False,True
61137,auto-indexing,مَثْبَتَة آلِيَّة,indexation automatique,automatische Indizierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61137,عملية إنشاء مسارد النصوص بكيفية آلية، وتوفرها مختلف أنظمة معالجة النصوص الحديثة,,False,True
61138,auto-log off,خُرُوج آلِيّ,fermeture automatique de session,automatische Abmeldung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61138,عندما يتم إنهاء حصة عمل أو ارتباط بالشبكة بكيفية آلية مبرمجة مسبقا من طرف المستعمل أو النظام,,False,True
61150,auto-negotiation,تَفَاوُضٌ تِلْقَائِيّ,auto-negotiation,automatische Aushandlung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61150,تقنية تسمح بتحديد سرعة الوصلة، واتجاه الإرسال أحادي أو ثنائي، بين أجهزة إيثرنيت، اعتماداً على إمكاناتها,,False,True
61152,auto-start,انْطِلاق آلِيّ,démarrage automatique,automatischer Start,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61152,حالة انطلاق تنفيذ برنامج بكيفية آلية عند بداية تشغيل الحاسوب أو عند توفر بعض الشروط,,False,True
61139,automatic,آلِيّ,automatique,automatisch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61139,لفظ عام يطلق على كل ما يمكن القيام به بمساعدة الحاسوب في مقابل اليدوي أو الميكانيكيتِلْقَائِيٌّ (المرادف العربي),,False,True
61140,automatic abstract,مُلَخَّصٌ تِلْقَائِي,résumé automatique,automatische Zusammenfassung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61140,نص يتم الحصول عليه بكيفية آلية ويلخص نصا أطول بالإشارة إلى أهم محتوياته,,False,True
61141,automatic check,تَدْقِيق آليّ,contrôle automatique,automatische Überprüfung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61141,مصطلح عام يشير إلى كل مراقبة تتم بكيفية آلية؛ أي تكون مبرمجة مسبقا,,False,True
